,NAME,B08013_001E,B08012_001E,state,county,tract,avg_time_to_work,GEOID
0,"Census Tract 27, Providence County, Rhode Island",47650.0,1671.0,44,007,002700,28.515858767205266,44007002700
1,"Census Tract 109, Providence County, Rhode Island",52765.0,1795.0,44,007,010900,29.395543175487465,44007010900
2,"Census Tract 111, Providence County, Rhode Island",46710.0,1662.0,44,007,011100,28.104693140794225,44007011100
3,"Census Tract 122, Providence County, Rhode Island",84690.0,3671.0,44,007,012200,23.070008172160176,44007012200
4,"Census Tract 126.02, Providence County, Rhode Island",79645.0,3670.0,44,007,012602,21.701634877384198,44007012602
5,"Census Tract 147, Providence County, Rhode Island",93750.0,3340.0,44,007,014700,28.068862275449103,44007014700
6,"Census Tract 150, Providence County, Rhode Island",54970.0,2564.0,44,007,015000,21.43915756630265,44007015000
7,"Census Tract 156, Providence County, Rhode Island",33910.0,1284.0,44,007,015600,26.409657320872274,44007015600
8,"Census Tract 164, Providence County, Rhode Island",49045.0,1963.0,44,007,016400,24.984717269485483,44007016400
9,"Census Tract 166, Providence County, Rhode Island",23145.0,948.0,44,007,016600,24.414556962025316,44007016600
10,"Census Tract 178, Providence County, Rhode Island",22600.0,967.0,44,007,017800,23.371251292657703,44007017800
11,"Census Tract 179, Providence County, Rhode Island",38400.0,1417.0,44,007,017900,27.09950599858857,44007017900
12,"Census Tract 182, Providence County, Rhode Island",38400.0,1570.0,44,007,018200,24.45859872611465,44007018200
13,"Census Tract 114.03, Providence County, Rhode Island",92290.0,3668.0,44,007,011403,25.1608505997819,44007011403
14,"Census Tract 15, Providence County, Rhode Island",31245.0,1642.0,44,007,001500,19.028623629719853,44007001500
15,"Census Tract 113.01, Providence County, Rhode Island",58785.0,2419.0,44,007,011301,24.301364200082677,44007011301
16,"Census Tract 114.01, Providence County, Rhode Island",119195.0,4405.0,44,007,011401,27.059023836549375,44007011401
17,"Census Tract 118, Providence County, Rhode Island",67195.0,3195.0,44,007,011800,21.031298904538342,44007011800
18,"Census Tract 8, Providence County, Rhode Island",35745.0,1795.0,44,007,000800,19.91364902506964,44007000800
19,"Census Tract 34, Providence County, Rhode Island",52425.0,2081.0,44,007,003400,25.192215281114848,44007003400
20,"Census Tract 105.01, Providence County, Rhode Island",48830.0,2110.0,44,007,010501,23.14218009478673,44007010501
21,"Census Tract 103, Providence County, Rhode Island",29130.0,1637.0,44,007,010300,17.79474648747709,44007010300
22,"Census Tract 114.02, Providence County, Rhode Island",59485.0,2173.0,44,007,011402,27.37459733087897,44007011402
23,"Census Tract 121.02, Providence County, Rhode Island",50860.0,2216.0,44,007,012102,22.951263537906136,44007012102
24,"Census Tract 129, Providence County, Rhode Island",91390.0,2488.0,44,007,012900,36.73231511254019,44007012900
25,"Census Tract 135, Providence County, Rhode Island",51640.0,2413.0,44,007,013500,21.400745959386654,44007013500
26,"Census Tract 137.02, Providence County, Rhode Island",32635.0,1553.0,44,007,013702,21.01416613007083,44007013702
27,"Census Tract 143, Providence County, Rhode Island",44170.0,2345.0,44,007,014300,18.83582089552239,44007014300
28,"Census Tract 110, Providence County, Rhode Island",73495.0,2612.0,44,007,011000,28.137442572741193,44007011000
29,"Census Tract 117.02, Providence County, Rhode Island",44765.0,2101.0,44,007,011702,21.306520704426465,44007011702
30,"Census Tract 123, Providence County, Rhode Island",88205.0,3607.0,44,007,012300,24.453839756029943,44007012300
31,"Census Tract 125, Providence County, Rhode Island",46935.0,2109.0,44,007,012500,22.25462304409673,44007012500
32,"Census Tract 126.01, Providence County, Rhode Island",29750.0,1599.0,44,007,012601,18.60537836147592,44007012601
33,"Census Tract 127.01, Providence County, Rhode Island",63715.0,2314.0,44,007,012701,27.53457216940363,44007012701
34,"Census Tract 128.01, Providence County, Rhode Island",63705.0,2255.0,44,007,012801,28.250554323725055,44007012801
35,"Census Tract 130.01, Providence County, Rhode Island",70690.0,1855.0,44,007,013001,38.107816711590296,44007013001
36,"Census Tract 130.02, Providence County, Rhode Island",129960.0,4207.0,44,007,013002,30.891371523651056,44007013002
37,"Census Tract 131.01, Providence County, Rhode Island",80655.0,2517.0,44,007,013101,32.04410011918951,44007013101
38,"Census Tract 140, Providence County, Rhode Island",80030.0,3023.0,44,007,014000,26.473701620906386,44007014000
39,"Census Tract 144, Providence County, Rhode Island",37080.0,1692.0,44,007,014400,21.914893617021278,44007014400
40,"Census Tract 170, Providence County, Rhode Island",70240.0,2417.0,44,007,017000,29.06081919735209,44007017000
41,"Census Tract 151, Providence County, Rhode Island",56720.0,2087.0,44,007,015100,27.17776712985146,44007015100
42,"Census Tract 154, Providence County, Rhode Island",25560.0,1066.0,44,007,015400,23.97748592870544,44007015400
43,"Census Tract 160, Providence County, Rhode Island",45445.0,1764.0,44,007,016000,25.7624716553288,44007016000
44,"Census Tract 168, Providence County, Rhode Island",48315.0,1514.0,44,007,016800,31.91215323645971,44007016800
45,"Census Tract 169, Providence County, Rhode Island",24505.0,929.0,44,007,016900,26.377825618945103,44007016900
46,"Census Tract 174, Providence County, Rhode Island",55740.0,1597.0,44,007,017400,34.90294301815905,44007017400
47,"Census Tract 28, Providence County, Rhode Island",66040.0,2610.0,44,007,002800,25.302681992337163,44007002800
48,"Census Tract 157, Providence County, Rhode Island",44900.0,1517.0,44,007,015700,29.59789057350033,44007015700
49,"Census Tract 107.02, Providence County, Rhode Island",60285.0,2171.0,44,007,010702,27.768309534776602,44007010702
50,"Census Tract 115, Providence County, Rhode Island",75925.0,2876.0,44,007,011500,26.39951321279555,44007011500
51,"Census Tract 139, Providence County, Rhode Island",35820.0,1462.0,44,007,013900,24.500683994528043,44007013900
52,"Census Tract 180, Providence County, Rhode Island",25220.0,999.0,44,007,018000,25.245245245245247,44007018000
53,"Census Tract 163, Providence County, Rhode Island",48085.0,1755.0,44,007,016300,27.3988603988604,44007016300
54,"Census Tract 13, Providence County, Rhode Island",35110.0,1767.0,44,007,001300,19.869835880022638,44007001300
55,"Census Tract 102, Providence County, Rhode Island",75675.0,3577.0,44,007,010200,21.155996645233436,44007010200
56,"Census Tract 142, Providence County, Rhode Island",23905.0,1094.0,44,007,014200,21.851005484460696,44007014200
57,"Census Tract 146, Providence County, Rhode Island",69685.0,2955.0,44,007,014600,23.58206429780034,44007014600
58,"Census Tract 132.02, Providence County, Rhode Island",99135.0,3292.0,44,007,013202,30.113912515188336,44007013202
59,"Census Tract 137.01, Providence County, Rhode Island",61600.0,2367.0,44,007,013701,26.024503591043516,44007013701
60,"Census Tract 138, Providence County, Rhode Island",69910.0,2991.0,44,007,013800,23.373453694416582,44007013800
61,"Census Tract 171, Providence County, Rhode Island",41680.0,1958.0,44,007,017100,21.287027579162412,44007017100
62,"Census Tract 181, Providence County, Rhode Island",31640.0,1196.0,44,007,018100,26.45484949832776,44007018100
63,"Census Tract 184, Providence County, Rhode Island",60675.0,2810.0,44,007,018400,21.59252669039146,44007018400
64,"Census Tract 176, Providence County, Rhode Island",30135.0,1068.0,44,007,017600,28.21629213483146,44007017600
65,"Census Tract 177, Providence County, Rhode Island",50425.0,2108.0,44,007,017700,23.9207779886148,44007017700
66,"Census Tract 183, Providence County, Rhode Island",16645.0,694.0,44,007,018300,23.98414985590778,44007018300
67,"Census Tract 1.02, Providence County, Rhode Island",52665.0,2170.0,44,007,000102,24.26958525345622,44007000102
68,"Census Tract 6, Providence County, Rhode Island",12080.0,518.0,44,007,000600,23.320463320463322,44007000600
69,"Census Tract 7, Providence County, Rhode Island",15530.0,734.0,44,007,000700,21.158038147138964,44007000700
70,"Census Tract 145.01, Providence County, Rhode Island",55570.0,2462.0,44,007,014501,22.571080422420795,44007014501
71,"Census Tract 155, Providence County, Rhode Island",62125.0,2391.0,44,007,015500,25.982852363028023,44007015500
72,"Census Tract 159, Providence County, Rhode Island",51600.0,1977.0,44,007,015900,26.100151745068285,44007015900
73,"Census Tract 2, Providence County, Rhode Island",58415.0,2264.0,44,007,000200,25.801678445229683,44007000200
74,"Census Tract 3, Providence County, Rhode Island",57695.0,2839.0,44,007,000300,20.32229658330398,44007000300
75,"Census Tract 12, Providence County, Rhode Island",36915.0,1416.0,44,007,001200,26.069915254237287,44007001200
76,"Census Tract 14, Providence County, Rhode Island",78020.0,2722.0,44,007,001400,28.662747979426893,44007001400
77,"Census Tract 23, Providence County, Rhode Island",45700.0,2091.0,44,007,002300,21.85557149689144,44007002300
78,"Census Tract 26, Providence County, Rhode Island",31195.0,992.0,44,007,002600,31.44657258064516,44007002600
79,"Census Tract 36.02, Providence County, Rhode Island",35515.0,1977.0,44,007,003602,17.964087000505817,44007003602
80,"Census Tract 108, Providence County, Rhode Island",49325.0,1731.0,44,007,010800,28.495089543616405,44007010800
81,"Census Tract 113.02, Providence County, Rhode Island",67370.0,2195.0,44,007,011302,30.69248291571754,44007011302
82,"Census Tract 117.01, Providence County, Rhode Island",57665.0,2212.0,44,007,011701,26.069168173598552,44007011701
83,"Census Tract 124.01, Providence County, Rhode Island",70585.0,3608.0,44,007,012401,19.563470066518846,44007012401
84,"Census Tract 152, Providence County, Rhode Island",21650.0,761.0,44,007,015200,28.44940867279895,44007015200
85,"Census Tract 153, Providence County, Rhode Island",24500.0,1010.0,44,007,015300,24.257425742574256,44007015300
86,"Census Tract 158, Providence County, Rhode Island",37860.0,1684.0,44,007,015800,22.482185273159146,44007015800
87,"Census Tract 167, Providence County, Rhode Island",46995.0,1932.0,44,007,016700,24.324534161490682,44007016700
88,"Census Tract 175, Providence County, Rhode Island",38640.0,1468.0,44,007,017500,26.321525885558582,44007017500
89,"Census Tract 29, Providence County, Rhode Island",74610.0,3080.0,44,007,002900,24.224025974025974,44007002900
90,"Census Tract 11, Providence County, Rhode Island",28370.0,1345.0,44,007,001100,21.092936802973977,44007001100
91,"Census Tract 131.02, Providence County, Rhode Island",77625.0,2663.0,44,007,013102,29.149455501314307,44007013102
92,"Census Tract 104, Providence County, Rhode Island",71540.0,2909.0,44,007,010400,24.592643520110002,44007010400
93,"Census Tract 105.02, Providence County, Rhode Island",66540.0,2516.0,44,007,010502,26.446740858505564,44007010502
94,"Census Tract 107.01, Providence County, Rhode Island",27270.0,1191.0,44,007,010701,22.896725440806044,44007010701
95,"Census Tract 128.02, Providence County, Rhode Island",32460.0,1144.0,44,007,012802,28.374125874125873,44007012802
96,"Census Tract 132.01, Providence County, Rhode Island",75950.0,2473.0,44,007,013201,30.71168621107966,44007013201
97,"Census Tract 1.01, Providence County, Rhode Island",48635.0,1961.0,44,007,000101,24.801121876593573,44007000101
98,"Census Tract 16, Providence County, Rhode Island",101905.0,4189.0,44,007,001600,24.32680830747195,44007001600
99,"Census Tract 22, Providence County, Rhode Island",35075.0,1796.0,44,007,002200,19.529510022271715,44007002200
100,"Census Tract 25, Providence County, Rhode Island",38990.0,1627.0,44,007,002500,23.964351567301783,44007002500
101,"Census Tract 31, Providence County, Rhode Island",55375.0,1847.0,44,007,003100,29.981050351922036,44007003100
102,"Census Tract 33, Providence County, Rhode Island",62360.0,2208.0,44,007,003300,28.242753623188406,44007003300
103,"Census Tract 35, Providence County, Rhode Island",55725.0,2647.0,44,007,003500,21.0521344918776,44007003500
104,"Census Tract 36.01, Providence County, Rhode Island",20055.0,1281.0,44,007,003601,15.655737704918034,44007003601
105,"Census Tract 37, Providence County, Rhode Island",37960.0,1599.0,44,007,003700,23.739837398373982,44007003700
106,"Census Tract 101.01, Providence County, Rhode Island",56800.0,2382.0,44,007,010101,23.845507976490346,44007010101
107,"Census Tract 5, Providence County, Rhode Island",27005.0,1140.0,44,007,000500,23.68859649122807,44007000500
108,"Census Tract 9, Providence County, Rhode Island",21215.0,1247.0,44,007,000900,17.012830793905373,44007000900
109,"Census Tract 21.01, Providence County, Rhode Island",32960.0,1389.0,44,007,002101,23.72930165586753,44007002101
110,"Census Tract 21.02, Providence County, Rhode Island",58925.0,2862.0,44,007,002102,20.588749126484977,44007002102
111,"Census Tract 119.01, Providence County, Rhode Island",45975.0,1765.0,44,007,011901,26.048158640226628,44007011901
112,"Census Tract 119.02, Providence County, Rhode Island",48660.0,2053.0,44,007,011902,23.701899659035558,44007011902
113,"Census Tract 121.03, Providence County, Rhode Island",29110.0,1311.0,44,007,012103,22.204424103737605,44007012103
114,"Census Tract 101.02, Providence County, Rhode Island",38175.0,1697.0,44,007,010102,22.49558043606364,44007010102
115,"Census Tract 106, Providence County, Rhode Island",89965.0,3135.0,44,007,010600,28.696969696969695,44007010600
116,"Census Tract 112, Providence County, Rhode Island",75385.0,3207.0,44,007,011200,23.50639226691612,44007011200
117,"Census Tract 116, Providence County, Rhode Island",85425.0,3347.0,44,007,011600,25.52285628921422,44007011600
118,"Census Tract 120, Providence County, Rhode Island",76665.0,2577.0,44,007,012000,29.749708963911527,44007012000
119,"Census Tract 127.02, Providence County, Rhode Island",66555.0,2310.0,44,007,012702,28.81168831168831,44007012702
120,"Census Tract 128.03, Providence County, Rhode Island",72985.0,2234.0,44,007,012803,32.67009847806625,44007012803
121,"Census Tract 134, Providence County, Rhode Island",48675.0,2078.0,44,007,013400,23.423965351299326,44007013400
122,"Census Tract 141, Providence County, Rhode Island",41865.0,1933.0,44,007,014100,21.658044490429383,44007014100
123,"Census Tract 145.02, Providence County, Rhode Island",50410.0,2165.0,44,007,014502,23.28406466512702,44007014502
124,"Census Tract 161, Providence County, Rhode Island",62550.0,2341.0,44,007,016100,26.719350704826997,44007016100
125,"Census Tract 165, Providence County, Rhode Island",51925.0,2118.0,44,007,016500,24.51605288007554,44007016500
126,"Census Tract 173, Providence County, Rhode Island",31825.0,1414.0,44,007,017300,22.507072135785005,44007017300
127,"Census Tract 185, Providence County, Rhode Island",34920.0,1285.0,44,007,018500,27.17509727626459,44007018500
128,"Census Tract 4, Providence County, Rhode Island",32450.0,1648.0,44,007,000400,19.690533980582526,44007000400
129,"Census Tract 10, Providence County, Rhode Island",20060.0,796.0,44,007,001000,25.201005025125628,44007001000
130,"Census Tract 24, Providence County, Rhode Island",67865.0,3162.0,44,007,002400,21.46268184693232,44007002400
131,"Census Tract 32, Providence County, Rhode Island",44435.0,1692.0,44,007,003200,26.261820330969268,44007003200
132,"Census Tract 136, Providence County, Rhode Island",35195.0,1517.0,44,007,013600,23.20039551746869,44007013600
133,"Census Tract 124.02, Providence County, Rhode Island",24860.0,1243.0,44,007,012402,20.0,44007012402
134,"Census Tract 133, Providence County, Rhode Island",88110.0,2454.0,44,007,013300,35.904645476772615,44007013300
135,"Census Tract 148, Providence County, Rhode Island",62670.0,3098.0,44,007,014800,20.229180116204002,44007014800
136,"Census Tract 17, Providence County, Rhode Island",41585.0,1659.0,44,007,001700,25.066305003013863,44007001700
137,"Census Tract 18, Providence County, Rhode Island",50765.0,2481.0,44,007,001800,20.4615074566707,44007001800
138,"Census Tract 19, Providence County, Rhode Island",34215.0,1559.0,44,007,001900,21.946760744066708,44007001900
139,"Census Tract 20, Providence County, Rhode Island",60970.0,2510.0,44,007,002000,24.290836653386453,44007002000
140,"Census Tract 121.04, Providence County, Rhode Island",48410.0,2122.0,44,007,012104,22.813383600377,44007012104
